Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
Q01105	Q01105		SET		615322	591427	594052	600759	592230	659347	603971	708266	582485	681385	581466	647422	673832	656613	671170	691310
Q01130	Q01130		SRSF2		557711	524572	561780	526131	566296	516960	563951	468475	556918	465290	576259	488295	487308	505029	504796	540226
Q01469	Q01469		FABP5		116370	127733	110109	117330	133322	105473	105632	106415	125828	95736	129157	104717	91707.3	101582	101668	109242
Q01518	Q01518		CAP1		229299	219113	230372	219147	229355	135491	211779	135817	206579	141515	216733	132094	130898	146134	133815	134806
Q01581	Q01581		HMGCS1		95199	92865	89762.8	91002.9	90057.8		88512.9		87673.4		89694					
Q01650	Q01650		SLC7A5		39953.8	36290.8	36871.6	38588.2	36301.5	390204	41646.5	347603	42464.4	376945	38470	353125	380901	381094	367743	407786
Q01813	Q01813		PFKP		77852.1	77147.7	86114.5	81700.7	75751.4	97019.5	89990.2	90918.5	82675.5	85022.9	86721.2	89707.8	90338.3	94728.2	90553.6	94680.7
Q01844	Q01844		EWSR1		104516	111503	125071	105848	92685.5	82665.7	124774	81643.2	112314	72093.2	124994	76260.3	91146.5	83052.3	90164.9	88665.8
Q01970	Q01970		PLCB3		25775.5	28088.1	31197.5	29496.4	22897.4	34685.9	28583.5	40101.8	28631.5	28600.4	27699.8	34444.1	37226.2	33766.1	33322.8	37460.7
Q02218	Q02218		OGDH		28634.6	28019.2	30105.9	23625.4	27248.8	46582.9	26016.5	39586.6	26674.7	46564.6	29110.2	44457.7	42668	50234.3	43271.3	42315.3
Q02543	Q02543		RPL18A		355905	351491	342261	371362	342075	598769	356498	624539	340107	613138	355897	560671	604157	590867	605849	612071
Q02750	Q02750		MAP2K1		47833.6	44753.5	44928.3	47196.7	46693.1	49689	46762.6	50440.6	43490.2	48234.9	44797.3	47187.9	50509.5	49295.9	47548.5	36663.2
Q02790	Q02790		FKBP4		148952	146601	149055	149793	145819	117373	155992	118730	148951	109853	150753	117437	124314	113304	120819	122698
Q02818	Q02818		NUCB1							4476.72				5634.62				5353.7		
Q02878	Q02878		RPL6		495657	495097	489109	510927	466799	663033	488103	684866	481865	721918	482532	672040	702901	677611	694073	692208
Q02978	Q02978		SLC25A11		40143.8	27887.8	30822	34524.5	38076	61989.3	37331.2	54964.5	37996	61276.2	30345.8	57788.8	60606.8	61788.4	66376.6	58593.4
Q03154	Q03154		ACY1		38107.4	38287.5	30977.8	36116.3	36084.6	21749.8	37863	22592.9	36624.5	21665.8	37629.7	21371.9	22174.4	20304	19479.5	18630.6
Q03252	Q03252		LMNB2		87133.3	85234.4	79729.2	83978.1	77430.8	61736.8	82106.5	62953	79254.1	61811.9	79392.8	60569.5	54112.9	52834.2	60784.4	61960
Q04206	Q04206		RELA		34820	32774.3	28403.3	34411.9	34189.6	25951.5	30586.9	30234.6	26438.3	35289.5	26570	32072.5	25327.2	18007.2	24711.1	26032.7
Q04323	Q04323		UBXN1		68940	61497.1	60675.7	67891.7	63884	53934.9	65357.2	51301	63276.3	51284.1	61695.1	49783.2	52848.2	53194.8	53067.8	53687
Q04637	Q04637		EIF4G1		157905	155669	156332	163360	160716	176265	154249	175309	152465	181665	153174	176680	179722	175356	180664	181949
Q04695	Q04695		KRT17		75189	66490.5	74059.8	59367.4	74710.2	2.33892e+06	63580.8	2.41993e+06	58346.5	2.39585e+06	77613	2.36154e+06	2.40635e+06	2.38003e+06	2.40486e+06	2.42084e+06
Q04760	Q04760		GLO1		279742	252181	339025	249194	241136	154691	255129	156621	246597	164867	255091	136797	166685	156998	149775	154484
Q04837	Q04837		SSBP1		298652	287163	302637	298573	314928	356846	320531	367835	315128	353735	313844	337549	376708	369060	401019	399814
Q04917	Q04917		YWHAH		199743	193597	202554	201661	199688	79641	204910	78330	193015	74533.7	194999	77179.6	85251.7	78170.3	80007.8	73572.9
Q04941	Q04941		PLP2		43008.3	40882.2	41107.6	42726.3	40380.2	268687	40370.9	267925	38468.3	253335	38431.4	275621	257908	251236	277531	252217
Q05048	Q05048		CSTF1		23426.9	18547.4	21724.4	19675.9	18252.6	14460.2	19085.6	13562.1	22843		19896.2	17489.4	15953.8	13287.8	16732.7	16260.6
Q05519	Q05519		SRSF11		65157.4	47635.2	48786.7	67473.2	50196.7	36485	53188.1	33034.7	51630.8	30375.9	49088.4	37411.1	40059	34033.9	38119.8	36790.5
Q05639	Q05639		EEF1A2		9.48079e+06	9.28363e+06	9.20759e+06	9.11824e+06	9.09911e+06	6.99769e+06	9.39911e+06	6.94112e+06	9.30863e+06	7.82958e+06	8.71468e+06	7.12171e+06	7.53611e+06	7.22895e+06	7.25902e+06	7.26839e+06
Q05682	Q05682		CALD1							25551.7		29174.6		27780.9		24514.2	29633.6	25006.5	27409.1	26231.7
Q06033	Q06033		ITIH3							92272.5		90947.1		75797.9		95859.8	147822	184682	144496	157700
Q06124	Q06124		PTPN11			18612.4	19869.9		21617		22261.6	23369	20232.1	26554.8		22809.2	30452.4	22701.8	31446.9	25335.7
Q06136	Q06136		KDSR			526.599				10301.3		12279.1		10125.8		13314	12427.2	8911.75	8798	13376.8
Q06203	Q06203		PPAT		127716	133620	132188	129307	133759	68113	129638	58932	130739	85050.5	132792	61795.5	60292.4	63426.4	57061.8	58787.7
Q06210	Q06210		GFPT1		46280.2	45903.3	44546.6	46131.7	47648	29749.5	48729.3	29662.4	47516.7	29600.3	46505.2	29460.3	30624	30583.7	32837.5	31588.9
Q06265	Q06265		EXOSC9		53184.1	56885.4	54427	53611.2	56590.1	38775.6	54076.5	32841.4	55327.8	38772.2	54529.2	31458.3	31517.1	34230	36566.6	39340.9
Q06323	Q06323		PSME1		80768.5	78572	81878.9	82484.3	76587.5	198626	82024.4	208954	79794.3	215266	78990	191705	202732	193557	206051	199785
Q06587	Q06587		RING1		27584.2	27726.5	28184.5	32089.2	30516.3	19171.6	29258.9	15879.8	29760.1	17954.9	27485.7	18552.2	20781.7	17171.4	16016.6	13076.9
Q06830	Q06830		PRDX1		1.79123e+06	1.85732e+06	1.80967e+06	1.8075e+06	1.91139e+06	2.50728e+06	1.86825e+06	2.42975e+06	1.81716e+06	2.42404e+06	1.84787e+06	2.43417e+06	2.32464e+06	2.35995e+06	2.38909e+06	2.45883e+06
Q07002	Q07002		CDK18				86959.1			136940				136398		139050	136078	132797		133014
Q07020	Q07020		RPL18		464292	436650	445259	468806	471636	1.02644e+06	433683	1.1233e+06	426855	1.13882e+06	445855	1.08576e+06	1.10756e+06	990911	1.09628e+06	1.06362e+06
Q07021	Q07021		C1QBP		79291.4	76259.1	93202.1	71083.3	56416.1	212674	65758.6	197912	64925.9	220561	61895	193344	161250	186217	123698	165324
Q07065	Q07065		CKAP4							46456		47982.5		49953.1		49919.5	45577.7	49031.6	51186.5	48901.5
Q07666	Q07666		KHDRBS1		246754	244557	224863	245516	244768	145633	234437	145153	216075	154903	213076	138378	157674	155859	159549	156449
Q07812	Q07812		BAX		24719.1	20741.3	30456.1	24658.1	23321.6	30047	30174.8	25360.9	27467.8	23137.4	22743.2	27600.5	39360.2	34002.7	33376.4	33559.3
Q07866	Q07866		KLC1		28288.9	29767.5	32070.8	24733.7	26200.6	36402.9	41362.5	35693.5	38341.4	33302.4	37724.9	34599	36327.4	35345.9	44933.7	41504.8
Q07955	Q07955		SRSF1		776200	746890	796440	788563	741628	581712	811018	655475	760924	585439	753297	623883	659198	586812	625628	634957
Q07960	Q07960		ARHGAP1		23875	25636	23679.5	24306.6	23573.6	50691.3	21930.8	55264.5	23228.5	57244.8	21280.9	55901.2	52143.8	50735.8	56491.3	49895.5
Q08170	Q08170		SRSF4		713941	720955	681215	754054	703065	625864	756118	619698	708672	634744	702972	617338	657988	621032	616011	656664
Q08211	Q08211		DHX9		397602	398036	414753	396866	406793	313370	408949	310930	407037	322486	403642	298944	322399	317829	334497	316429
Q08257	Q08257		CRYZ		73280.6	74072.4	70177.5	76376.5	72357.3	33880.5	78358.5	27801	79381.9	25583.6	78597.1	30129.8	32662.2	44316.8	42669.2	34338.4
Q08379	Q08379		GOLGA2		52012.1	42532.3	50616.3	47166.3	42337.5	37491.2	44228	47225	44269.5	26250.5	35423.4	29242.8	51462.5	26213.7		40735.1
Q08623	Q08623		PUDP		14639.7	14469.2	13894.1	15001.4	13587.8	11433.9	16239.1	8990.7	12320.1	13936.6	15966.9	9650.34	12907.7	7912.48	7805.2	7475.35
Q08752	Q08752		PPID		73379.4	77376.5	72081.8	76617.9	76411.7	9969.37	76461.7	9217.69	79611.9	7736.02	72373.9	9368.49	12387	10931.3	3992.38	10404.9
Q08945	Q08945		SSRP1		103867	107992	105197	107479	105910	147528	105610	149156	104607	135993	104196	141319	141083	139458	145525	137573
Q08J23	Q08J23		NSUN2		93451.8	88722.7	93273.5	91779.6	88424	98384.3	92960.6	103524	92426.1	100675	91952.3	103054	103412	99112.2	105855	103592
Q09028	Q09028		RBBP4		259050	246681	246954	253364	236564	69995.6	243364	74862.8	236276	63970.5	232132	67503	66771	63924.6	65880	64477
Q09161	Q09161		NCBP1		62325.2	60305.8	61534.6	62565	60282.5	63325.4	64047.7	67835.7	54202.8	63609.2	60905.5	56689.5	74896.2	63595.3	65487.1	67356.1
Q09666	Q09666		AHNAK		118995	109159	128193	128297	118751	446068	144610	412777	119942	414594	139874	436424	431983	432572	425729	438368
Q0VDF9	Q0VDF9		HSPA14		66103.7	66447.8	67962.9	68863.6	69478.2	25690.7	58037.2	25740.7	60195.3	24231.8	58916.1	31421	22798.6	25525.3	17785.1	21001.5
Q0VGL1	Q0VGL1		LAMTOR4		44275.8	47998.3	48789.6	44893.6	42757.9	24538.9	51483.9	30753	44184.4	26788.8	47761	25985.2	31512.9	21984.3	24578.1	24009.7
Q10567	Q10567		AP1B1		44315.5	46589.5	46891.5	47949.1	53919.4	47832.7	39273.2	66525.9	42627.5	60541.7	54020.6	50881.8	57143.2	48970.6	56908.6	57121.8
Q10570	Q10570		CPSF1		11572.4	11781.9	12350	12497.6	8992.73	6839.77	8689.78	3887.85	11682.7	6215	10553	4134.96	2062.74	6508.42	5431.56	3787.4
Q10589	Q10589		BST2		41221	37661	38779.5	39603.5	36814	34843.1	38889.9	31744.9	41174.7	34335.5	38938	34004.4	37007.7	30382.1	34593.8	32528.6
Q10713	Q10713		PMPCA		46148.5	49676.1	57742.1	57310	51995.6	49543.6	59738.3	49896.9	56600.4	49792.5	59138.8	49027.8	56340.5	59836.2	60795	53882.2
Q12769	Q12769		NUP160		50271	50651.6	49794.1	52746	49301.9	38593.6	49953.2	36246.7	50751.2	37990	51541.8	40858.8	41454.6	39842.9	44770.5	38078.5
Q12788	Q12788		TBL3		62215.1	60355.6	62711.2	61762.8	55595.7	36070.2	56740.5	37768.6	58093.1	32426.4	56779	35636.2	38354.9	35346.3	35741.4	36112.7
Q12792	Q12792		TWF1				6871.75		5849.97	22874.8		28322		25093.7		25606	26332.4	26343.2	27046	25386.7
Q12797	Q12797		ASPH			11740.6				67989.5		67688.9		66302	7923.36	59625.8	66710.5	67950	70347.5	67963.4
Q12800	Q12800		TFCP2		5204.9	4492.11	5841.18	4685.69	4750.58	3296.27	4806.86		3187.48	2854.75	4814.61	3324.11				
Q12824	Q12824		SMARCB1		49562.2	52638.5	45157	49280	49086.4	22205.8	46275.1	24894.6	44913	29970.8	51824.3	28957.8	23949.4	25534.5	24635.8	
Q12849	Q12849		GRSF1		84121.4	68747.6	87267.6	70996.6	85795.8	29985.3	113290	25090.3	93648	26077.6	86182.4	32979.6	33022.9	28814.5	34020.7	19565.3
Q12874	Q12874		SF3A3		100608	92348.8	102573	98651	83736.3	63974.8	106909	56966.6	108469	61798.6	114957	57444.3	63739.6	71787.7	73733.8	68719.4
Q12904	Q12904		AIMP1		88982.7	89304.5	89945.1	85153.9	92997.8	118052	91744.9	121954	90682	118987	96550.4	112220	115992	119229	119925	117199
Q12905	Q12905		ILF2		304483	310483	290108	292472	294205	329300	276739	303049	281821	321516	290108	306515	313775	326320	291346	324739
Q12906	Q12906		ILF3		344076	339116	348305	340607	339728	277180	344256	276462	342256	276627	347717	286141	281109	291261	304869	300760
Q12907	Q12907		LMAN2		17637.2	18716.4	17270.8	18783.7	14231.9	96972.8	13377.9	96196.2	16621.1	93209.3	18941.9	91987.6	101958	94958.8	106835	104037
Q12931	Q12931		TRAP1		189300	191796	192428	201810	192400	169322	188068	165729	189186	168459	196343	171191	173525	160059	170328	166619
Q12933	Q12933		TRAF2		2917.49	6115.96	3595.53	5733.87	5202.27	3625.95	2637.52		6428.44	4503.67	5403.77	1496.01				
Q12965	Q12965		MYO1E							32689.8		31924.3		29938.8		30845.7	36529.4	30796.7	33817.2	34751.5
Q12972	Q12972		PPP1R8		12427.1	10141.7	10542.6	10718	9664.77	5342.61	4486.64	7226.34	8274.88		10497.2	2659.48		6330.59	3773.45	
Q13011	Q13011		ECH1		108912	107019	95690.8	121079	94086.7	152078	101910	155758	91621.2	157011	97772.6	144832	151494	151956	149487	157700
Q13045	Q13045		FLII		21292.6	17030.6	18305.5	20752.4	20512.3	28251.3	20355.8	36465.7	19152.2	28325.1	19664.3	30105.7	28367.6	27540	23990.1	29993.2
Q13057	Q13057		COASY		38957.2	34840.4	40364.6	35857.3	41957.2	91719.2	34122.9	83120.7	33984.1	87916.1	36536	99361.1	87059.6	89946.9	77983.8	94317.7
Q13085	Q13085		ACACA		63101.7	62243.6	70975.6	67181.8	68276.6	62612.5	65687.6	75378	69886.8	39121.6	69609.3	77744.5	52732	64264	46474.1	61151.8
Q13098	Q13098		GPS1		36380	34013.4	35620.9	35915.7	36954.2	43308.6	36981.9	40863.7	36633.7	41219.4	37196.3	43305.5	42467.8	39950.2	43703.8	41267.2
Q13112	Q13112		CHAF1B		69255.6	72186.5	76185.5	60194.7	60431	65248.6	57026.1	78838	67106.3		56166.9	51705.5	80268.3	56787	71445.5	88018.2
Q13126	Q13126		MTAP							130980		117522		130403		127914	133680	138437	129249	136929
Q13144	Q13144		EIF2B5		37249.1	36438.6	33664.7	36579.7	35230.5	26076.5	29687.6	28873.7	34572.4	28269.9	36818.6	31921.4	29340.2	21301.7	25442.1	24359
Q13148	Q13148		TARDBP		72085.4	75792.1	73719.6	70769.1	68921.4	49029.2	74038.6	50600.4	74327.5	49810.4	76998.8	42250.6	53040.3	51802.7	52641.3	48617.9
Q13151	Q13151		HNRNPA0		216331	192389	186889	195329	197545	184320	161226	218066	160855	146821	152326	180858	166991	165158	142548	154638
Q13155	Q13155		AIMP2		76420.2	76136.1	76404.1	88956.2	78345.5	73623.3	78666.9	69217.5	81512.3	60939.2	73786.4	69162.1	75454.1	65607.4	87827	71300.5
Q13162	Q13162		PRDX4		22245.3	23657.3	22310.5	22102.8	20512.5	83008.8	20656.7	86307.1	20790.4	89455.3	20656.7	79172.9	84147.2	79192.4	78847.2	79122.2
Q13177	Q13177		PAK2		158036	148483	186014	153289	176189	142014	184256	140659	189067	147546	191904	139630	155720	155755	157014	150510
Q13185	Q13185		CBX3		271408	254694	254356	260889	248663	79406.9	252715	86627.8	250799	75794.7	223880	76511.2	85051	79894.7	78270.6	88536.5
Q13200	Q13200		PSMD2		143145	146620	139253	142169	145874	82680	139206	83016.5	136719	84520	136545	86734.6	82268.5	80907.8	77395.1	81417
Q13228	Q13228		SELENBP1				28945.6	22196.8	23289	24938.4	27290.7	25477.9	29136.2	26012.4	24353.1	24150	28695.9	32416.5	27731.4	25820.6
Q13242	Q13242		SRSF9		174351	166832	172363	175682	152629	93175.7	190482	97996.9	176907	94409.4	168801	82503.6	107349	94227.6	83072.9	101023
Q13247	Q13247		SRSF6		149676	147841	142910	152958	149010	161042	138930	162606	144630	166489	159964	163621	156590	155152	163297	170536
Q13263	Q13263		TRIM28		326233	324516	381799	329211	309787	126498	380350	136653	361727	142852	361190	141249	149908	168960	151147	152665
Q13283	Q13283		G3BP1		445680	368520	468623	383869	398088	445539	416304	415552	390070	454358	416024	433518	452044	494155	414585	454973
Q13310	Q13310		PABPC4		389815	372490	388483	381552	363638	354297	380604	356073	379029	336685	388967	352484	379727	349508	357961	377268
Q13347	Q13347		EIF3I		187078	179410	182863	186737	179890	92714.7	188423	103404	185987	89449.5	190441	96205.7	97680.1	94895.6	94279.8	100125
Q13356	Q13356		PPIL2		19999.7	22085	19808.8	22286.6	21377.1		22316.8		20779.4		20327.5					
Q13363	Q13363		CTBP1		36842.9	48433.3	32470.3	40898.3	44119.8	26200.4	35415.9	31699.2	38134.5	23126.9	42691.4			26729	31064.2	30823.3
Q13404	Q13404		UBE2V1		213146	226568	221728	220652	214716	159911	208786	160162	217855	172538	209179	178816	181664	163240	168003	172963
Q13405	Q13405		MRPL49		17655.1	14392.2	16420	20183	18679.5	23454.4	17488.2	18675.4	18217.5	21240.5	16638	24574.1	18375.5	25678	25834.5	16762.1
Q13409	Q13409		DYNC1I2		146243	148926	139170	149606	155911	130232	139833	122243	141279	128466	141795	123595	122442	126373	118632	127191
Q13423	Q13423		NNT		78055.4	81440.4	81234	83271.2	74001.3	138526	71657.9	148684	75175.9	133210	86538.9	134132	142106	156250	138558	146346
Q13427	Q13427		PPIG		19604	15522.3	19650.2	16932.8	18788.5	3526.47	30793.6	4434.62	25139.4		23423.5	2392.61		6225.26		8924.45
Q13428	Q13428		TCOF1		78417.3	81923.4	79199.3	81848.5	83048.1	71427.5	78895.2	70808.2	80668.8	72213.5	84481.4	71805.8	68494.7	71592.2	69803.2	74424
Q13435	Q13435		SF3B2		199569	192023	199966	190858	192999	133624	195723	122844	198876	129221	199025	124534	136687	141053	145949	143573
Q13442	Q13442		PDAP1		178885	173045	171732	183652	181215	104620	169734	106836	182499	109452	169500	110142	103484	101092	108671	103974
Q13445	Q13445		TMED1							8539.38		5657.92		6015.68		7965.04	10351.2	9942.59	11125	8321.06
Q13451	Q13451		FKBP5		80850	84513.1	80701.7	85030.2	87734.8	37671	75408.2	40631.8	94138.4	40250.3	86222.7	39605.8	36584.8	33716.7	35339.9	37405.8
Q13492	Q13492		PICALM		121717	119663	128813	113727	114622	77427.8	115881	79403.8	112219	81391.2	123233	77015.1	85971.5	69466.4	84315.8	70776.9
Q13523	Q13523		PRPF4B		43668.6	39629	41648.7	35587.7	43756.7	33777.6	45753.3	33777.8	40913.9	33063.7	39644.3	30015.9	34734.7	33303.5	34309.9	34038.8
Q13526	Q13526		PIN1		38984.3	34626.4	38507.9	41560.5	38556.5	46384.9	33581.4	48524.6	26555	47615.6	33328.9	42722.5	37751.8	43001.4	37433.5	35026.3
Q13541	Q13541		EIF4EBP1		49095.2	50395.7	55881.6	56269.6	49726	55957.6	49585.5	69885	50648.1	53107.3	57297.1	58494.4	64816.5	56311.9	75506.8	71882.6
Q13542	Q13542		EIF4EBP2		11267.5	13734.4	12547.8	12870	9781.89		12747.6		9941.19		11636.4					
Q13547	Q13547		HDAC1		109480	103818	103687	106336	97899.4	39265.8	100038	38546.3	98405.4	33128.3	104721	40437.9	39046.9	36617.1	37871.8	36237.1
Q13561	Q13561		DCTN2		80865.4	76555.9	77565.2	77793.8	81015	63939.2	72646.3	66247.5	77757.9	64039.1	80560.6	59714.6	62085.4	69343.8	69093.2	66720.2
Q13564	Q13564		NAE1		35631.8	34470.6	36909.9	41687.4	36221.9	52553.9	37703.5	52345.8	34221.4	59415.1	34201.9	44679.8	61696.6	66454.1	61348.8	54125.4
Q13573	Q13573		SNW1		160963	153775	169137	170095	157919	134948	138838	145641	140321	129780	151606	120378	94835	173551	109484	171437
Q13595	Q13595		TRA2A		139653	126348	153414	139343	125575	87338.6	143886	104075	149393	77681.6	143408	89544.6	86593.6	86317.9	114999	95536.3
Q13596	Q13596		SNX1		352876	305679	229416	386034	315601	514269	277896	422064	267226	487624	271235	466308	438180	376613	443489	401156
Q13610	Q13610		PWP1		105781	105312	112338	100320	96800.1	115347	116104	133357	115430	150724	108450	118728	149063	148053	138523	149710
Q13616	Q13616		CUL1		15356.6	11111.6	9755.34	13295	12302.1	5376.47	9735.43	6659.83	9094.21	5010.03	9395.03	4424.14	4155.77		4142.91	4735.14
Q13617	Q13617		CUL2		19699.5	22370.2	16191.9	24087.4	24496.6	9353.72	16236.8	11864.2	19726	10028.8	22516.3	10787.1	10002	13613.9	10053.9	11162.6
Q13619	Q13619		CUL4A		2910.78	2941.26	2387	4863.96	2807.13	13115.4	3845.03	14024.5	4406.59	10504.3	5314.78	13896.3	19034.7	11678.5	11625.5	11813.1
Q13620	Q13620		CUL4B		26383	19138.9	26135.1	24368.2	19978.9	30271.9	18589.7	32418.1	25975.5	31642.3	19463	29393.2	33509.7	23587.8	33055.5	32962
Q13630	Q13630		GFUS		21945.6	21798.3	21952.6	20908	21903	40370.4	22498.5	40092	22054.6	40355	23686.3	38336.5	41021.8	38491.5	36581.6	37597.2
Q13642	Q13642		FHL1					20562.9		31575.5		33062.8		33108.9		33952.1	31498.5	29034.3	30455.7	31806.9
Q13643	Q13643		FHL3		119602	112358	135654	106564	112666	30310.9	125631	22070.2	140624	24137.4	132381	30587.3	53455.7	35796.4	76787.1	61812.7
Q13685	Q13685		AAMP		48266.6	54015.3	47639.7	52340.9	54102.2		49040.5		46466.7		49917.2		7456.82	9589.57		
Q13813	Q13813		SPTAN1		462009	226760	668535	222193	786886	221565	780344	219505	292611	218529	83052.8	221278	266551	228631	266071	231813
Q13838	Q13838		DDX39B		713477	699717	685744	744872	722455	538705	737928	530780	733535	529917	737852	554010	511496	525113	573683	533643
Q13867	Q13867		BLMH		87984.6	87775.8	76145.3	96784	91466.7	37584.7	85577.8	36941.2	85992.1	44273.9	88793.8	21335.7	37269.9	34053.2	40110.4	37810
Q13868	Q13868		EXOSC2		69888.1	69656.3	64920.4	69039.6	69587.1	52043.4	66460.9	47409.4	69082.1	47159.8	64246	47893.6	56156.4	54170.7	42175.9	49602.1
Q13885	Q13885		TUBB2A		38193.3	38392.6	35965.1	37931.3	34933.2		33999.9		39091		34352.6					
Q13895	Q13895		BYSL		64226.9	64286.5	59882.5	65756.3	62967	31546.7	61491.3	30295.8	64995.1	31305.3	61315.8	28938.9	32573.9	28659.6	30792.7	29218.4
Q13907	Q13907		IDI1		40543.4	36341.9	37965.2	40609.5	37128.1	18857.1	42343.2	20552.3	42191.2	23012.3	40356.8	26494.5	24853.4	22436.3	25048.4	26709
Q13951	Q13951		CBFB		165580	153623	163899	128579	152302	221898	142032		159878		166328	238885		210265	214582	217629
Q14008	Q14008		CKAP5		35048.9	35108.5	37470	31989.3	29217.4	18638	37737.1	19439.3	32497.1	21012.2	32595	22178.4	19698.3	23369.7	17046.1	22011.3
Q14011	Q14011		CIRBP		62121.3	57758.9	60327.1	63390.7	63021.1	26552.8	55223.9	25919.7	52398.6	25082	53274.3	23560	21129.9	22814.7	23007.7	26441.8
Q14019	Q14019		COTL1		216840	208417	199996	209372	214636	253684	211928	266210	203070	248895	206067	251861	252925	252707	265379	247543
Q14103	Q14103		HNRNPD		1.02214e+06	1.04975e+06	1.03348e+06	968429	1.01068e+06	373524	1.05994e+06	403968	946407	418877	976456	390573	419627	368459	386005	394641
Q14116	Q14116		IL18							97974.5		102861		104158		105025	96329	99238.1	100902	106615
Q14137	Q14137		BOP1		49430.3	52298.3	49826.5	51688.9	51742.2	32340.6	51600.8	31080.6	51221.1	25321	51875.9	31529.3	33764.5	28971.7	31432.6	30905.1
Q14151	Q14151		SAFB2		27734.1	30229.3	25886.8	32167.4	26359.7	17522.3	29171.7	14961.7	26514.8	9075.33	28282.3	11680.9	16254.3	16426.5	14650.7	10399.9
Q14152	Q14152		EIF3A		125388	124412	147201	119520	118365	102539	135883	98246.5	125880	103270	137404	100125	117040	119831	111675	120845
Q14157	Q14157		UBAP2L		56173.9	53247.2	54074.7	56889.9	51771.4	50187.6	52802.8	46544.1	52171.8	45521.1	52625.3	42369.1	49822.4	46668.4	46994.3	47613.2
Q14165	Q14165		MLEC							34500.2		38370.1		36407.8		39892.1	34164	34223.2	31905.8	36002
Q14166	Q14166		TTLL12		74195	70751.8	69599.1	75342.8	74057.1	38490.4	73046	39672.6	71001.3	36178.2	68831.1	37297.2	33459.6	36278.5	37926.9	37126.3
Q14197	Q14197		MRPL58		38215.4	40704.2	39317.1	37555.6	37416.5	52340.2	41045	50030	42420	47256.1	39649.1	52814.2	57967.2	50145.1	51773.4	50293.6
Q14203	Q14203		DCTN1		37391.3	46412	41743.4	48080.2	43055.9	59690.1	38024.7	62552.5	44275.4	56340.7	38303.3	46732	44778.3	51944.8	55697.5	52406.8
Q14204	Q14204		DYNC1H1		228068	217299	217640	219972	219966	288915	213768	285198	213630	290920	214887	279455	280183	285654	281264	285096
Q14232	Q14232		EIF2B1		39015.3	40160.3	40748.1	34634.3	41035.4	28670.5	47451.1	30523.2	42355.2	29631.5	44682.2	27291.9	28248.2	28241.4	28185.4	26151.4
